index,name,total_cases,new_cases,total_death,new_death,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,death_1m_pop,total_tests,tests_1m_pop,population
1,USA,25397214,7172,424275,98,15222909,9750030,27303,76476,1278,295591096,890086,332092704
2,India,10645580,5036,153316,95,10306666,185598,8944,7672,110,190985119,137637,1387604808
3,Brazil,8755133,,215299,,7594771,945063,8318,41025,1009,28600000,134016,213407310
4,Russia,3698273,20921,68971,559,3109315,519987,2300,25336,473,98900000,677538,145969720
5,UK,3583907,,95981,,1600622,1887304,3960,52638,1410,67231066,987438,68086356
6,France,3011257,,72647,,215822,2722788,2912,46076,1112,41226104,630804,65354806
7,Spain,2603472,,55441,,N/A,N/A,3908,55671,1186,30165217,645039,46764982
8,Italy,2441854,,84674,,1855127,502053,2390,40420,1402,30431493,503735,60411677
9,Turkey,2418472,,24789,,2296050,97633,2003,28504,292,28195901,332314,84847147
10,Germany,2127315,2054,52089,69,1795400,279826,4787,25345,621,37449922,446180,83934640
11,Colombia,1987418,,50586,,1811552,125280,3482,38827,988,9505562,185704,51186541
12,Argentina,1853830,,46575,,1636826,170429,3631,40808,1025,5806612,127820,45428197
13,Mexico,1732290,21007,147614,1440,1291940,292736,5652,13357,1138,4353072,33565,129691263
14,Poland,1470879,6322,35253,346,1222782,212844,1477,38888,932,8328586,220198,37823235
15,South Africa,1392568,,40076,,1201284,151208,546,23316,671,7882846,131982,59726820
16,Iran,1367032,6207,57294,69,1158475,151263,4106,16160,677,8634553,102070,84594020
17,Ukraine,1187897,4928,21778,116,942107,224012,177,27255,500,6057828,138988,43585176
18,Peru,1088096,,39427,,1002516,46153,1758,32746,1187,6028030,181412,33228456
19,Indonesia,977474,12191,27664,211,791059,158751,,3553,101,8706505,31644,275143086
20,Netherlands,944042,5414,13510,88,N/A,N/A,664,55026,787,6970400,406290,17156211
21,Czechia,933361,8423,15270,62,808263,109828,1052,87066,1424,5772660,538486,10720166
22,Canada,737407,,18828,,652829,65750,868,19442,496,16996450,448128,37927656
23,Romania,709194,2719,17722,94,650189,41283,1016,37004,925,5289874,276016,19165090
24,Chile,694647,4581,17854,68,649802,26991,1221,36164,929,7586356,394954,19208197
25,Belgium,689271,2444,20675,55,47820,620776,338,59328,1780,7819812,673079,11617976
26,Portugal,624469,15333,10194,274,451324,162951,720,61343,1001,6722120,660331,10179925
27,Iraq,612870,778,12988,4,579838,20044,154,15049,319,5342787,131196,40723804
